frame,time_s,pose_valid,tag_family,tag_id,tx_m,ty_m,tz_m,qx,qy,qz,qw,roll_deg,pitch_deg,yaw_deg,pose_error,hamming,decision_margin,center_px,corners_px_lb_rb_rt_lt
41,1.3680333333333334,1,tagStandard41h12,0,0.0005875746182883867,-0.0004485154950207942,7.966420543116421e-05,0.00023123926396279135,-6.51482858811888e-05,-0.00016650886072477037,0.9999999572794506,0.026499310865469222,-0.007461031186089642,-0.01908223594524873,3.936773510650335e-07,0,140.59072875976562,"[2331.386474609375, 1067.3897705078125]","[[2675.725830078125, 975.3006591796875], [2230.604248046875, 808.00537109375], [1983.8736572265625, 1160.3275146484375], [2445.89111328125, 1362.0914306640625]]"
42,1.4014,1,tagStandard41h12,0,0.0005039148520975397,-0.000604872902254117,-0.0001039045301118393,0.0005620213726634383,-0.00011752309155651716,-0.000190812735652755,0.999999816955383,0.0644054785548309,-0.013454863047061809,-0.02187309482107235,3.926127506762274e-07,0,141.2548828125,"[2331.35498046875, 1067.5635986328125]","[[2675.841064453125, 975.50634765625], [2230.528076171875, 808.192626953125], [1983.7166748046875, 1160.46337890625], [2445.92578125, 1362.2894287109375]]"
43,1.4347666666666667,1,tagStandard41h12,0,0.0005653012346479392,-0.000551506640272104,-2.8783994773612668e-05,0.00033216335437719443,-0.00013599826808570687,-0.00018443271402114126,0.9999999185782723,0.03806599198365972,-0.01557723240390131,-0.021139608293133383,3.739536853882967e-07,0,141.47410583496094,"[2331.16455078125, 1067.4793701171875]","[[2675.712646484375, 975.3436889648438], [2230.36962890625, 808.1260375976562], [1983.7135009765625, 1160.3912353515625], [2445.723388671875, 1362.2486572265625]]"
44,1.4681333333333333,1,tagStandard41h12,0,0.0005842254487419017,-0.0006000443522797668,-6.4156314496436e-05,0.00033758342957992255,-8.296143164275044e-05,-0.00026219680049854464,0.999999905203829,0.038686703921869244,-0.009496536056783503,-0.030048748380381848,4.04243698251821e-07,0,140.84523010253906,"[2331.0732421875, 1067.5260009765625]","[[2675.455810546875, 975.3919677734375], [2230.21826171875, 808.0914916992188], [1983.4376220703125, 1160.5303955078125], [2445.643798828125, 1362.242431640625]]"
45,1.5015,1,tagStandard41h12,0,0.0006470120842824412,-0.0005360481769373595,8.670885169234104e-05,0.00017561192317182384,2.764732378279049e-05,-0.0002619435300750759,0.9999999498908314,0.020122813619637966,0.003173421036401894,-0.03001596103812925,4.0718722974141275e-07,0,140.83360290527344,"[2330.95703125, 1067.6300048828125]","[[2675.291748046875, 975.4976806640625], [2230.1171875, 808.1525268554688], [1983.459716796875, 1160.608642578125], [2445.479736328125, 1362.3153076171875]]"
46,1.5348666666666666,1,tagStandard41h12,0,0.0006701077503650245,-0.0005452346918621354,7.167135170021126e-05,0.00034281237045814285,0.00011256436702906488,-0.0002934706760992464,0.9999998918419464,0.03927961835282953,0.012910453549907061,-0.033624839537638715,3.8960817018220307e-07,0,140.81350708007812,"[2330.81689453125, 1067.556884765625]","[[2675.15869140625, 975.4798583984375], [2229.9853515625, 808.1619262695312], [1983.334228515625, 1160.4736328125], [2445.379638671875, 1362.2763671875]]"
47,1.5682333333333334,1,tagStandard41h12,0,0.0006507189639255087,-0.0005962198114373526,-1.7230085545934353e-06,0.0004723174501409892,-4.6757470450045734e-05,-0.0002545786355319913,0.9999998549598313,0.05412495743751146,-0.005344231955162171,-0.029175090579169435,3.7906805445211035e-07,0,140.74668884277344,"[2330.780517578125, 1067.53564453125]","[[2675.150146484375, 975.4622802734375], [2229.99072265625, 808.2301635742188], [1983.2222900390625, 1160.46142578125], [2445.345458984375, 1362.2808837890625]]"
48,1.6016000000000001,1,tagStandard41h12,0,0.0006628863625352113,-0.000627496475690812,-3.5578517151341634e-06,0.00030625630775243316,-0.00020567889481695905,-0.00022573775432684212,0.999999906472862,0.035099710075626456,-0.023561141547258958,-0.025874860022193438,4.006166360400956e-07,0,141.03375244140625,"[2330.712158203125, 1067.6324462890625]","[[2675.0302734375, 975.4873657226562], [2229.931640625, 808.259765625], [1983.0821533203125, 1160.6639404296875], [2445.219970703125, 1362.334228515625]]"
49,1.6349666666666667,1,tagStandard41h12,0,0.0007300153639625185,-0.0005408357004587064,0.0001506434763528592,0.00018502539523457048,3.0382796492452188e-05,-0.00029556202146214714,0.9999999387427883,0.02120131869138775,0.0034878784155065934,-0.03386826860200785,3.7869404859028316e-07,0,141.1603240966797,"[2330.611572265625, 1067.616455078125]","[[2674.83935546875, 975.4892578125], [2229.832763671875, 808.2786865234375], [1983.13427734375, 1160.6134033203125], [2445.159423828125, 1362.38623046875]]"
50,1.6683333333333334,1,tagStandard41h12,0,0.0006762797403911901,-0.0006186153070353832,4.931206322135467e-05,0.00036733485111319287,-0.00027761356211116286,-0.0003392566768681344,0.9999998364503488,0.042104269154274745,-0.03179788682668848,-0.038887639847605064,3.8245775666056437e-07,0,141.52809143066406,"[2330.639892578125, 1067.708984375]","[[2674.968017578125, 975.4940185546875], [2229.811767578125, 808.4528198242188], [1983.1307373046875, 1160.7760009765625], [2445.242919921875, 1362.384033203125]]"
